# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-05T02:29:03.180Z,-20.19,-70.9463,11.13,5.1,mww,,126,0.769,0.86,us,us10005zyk,2016-09-02T21:36:38.040Z,"84km W of Iquique, Chile",earthquake,4.5,3.6,,,reviewed,us,us
2016-06-27T12:51:13.180Z,-31.7806,-71.4198,45.67,5,mww,,120,0.677,0.71,us,us2000676p,2016-08-31T03:08:19.040Z,"29km SW of Illapel, Chile",earthquake,5.6,2.2,,,reviewed,us,us
2016-06-24T21:29:19.020Z,-25.7705,-69.3417,118.96,5.5,mww,,43,0.645,1.13,us,us200066n4,2016-08-31T03:08:14.040Z,"96km NE of Diego de Almagro, Chile",earthquake,5.1,3.4,,,reviewed,us,us
2016-06-22T03:54:40.610Z,-30.6352,-71.6921,26.01,5.1,mww,,132,0.815,0.68,us,us200065x1,2016-08-27T02:15:34.040Z,"47km W of Ovalle, Chile",earthquake,2.7,4.1,,,reviewed,us,us
2016-06-18T17:29:46.460Z,-24.1467,-67.1526,186,5.7,mww,,31,1.516,1.32,us,us2000659j,2016-08-27T02:15:27.040Z,"85km W of San Antonio de los Cobres, Argentina",earthquake,6.7,1.6,,,reviewed,us,us
2016-06-06T13:21:59.190Z,-30.069,-71.5238,29.5,5.4,mww,,69,0.289,0.72,us,us200062by,2016-08-18T00:36:32.040Z,"21km SW of Coquimbo, Chile",earthquake,4,3,,,reviewed,us,us
2016-06-06T13:16:02.220Z,-30.0433,-71.4636,28.31,5.5,mww,,60,0.231,0.79,us,us200062bu,2016-08-18T00:36:32.040Z,"15km SW of Coquimbo, Chile",earthquake,4.3,2.9,,,reviewed,us,us
2016-06-05T15:05:33.750Z,-19.4083,-69.0325,97.17,5.1,mww,,64,0.684,0.74,us,us2000626c,2016-08-18T00:36:31.040Z,"145km SSE of Putre, Chile",earthquake,5.3,3.7,,,reviewed,us,us
2016-06-05T05:51:11.550Z,-29.3424,-71.8594,28,5.8,mww,,72,0.788,1,us,us20006257,2016-10-03T20:57:37.000Z,"84km NW of Coquimbo, Chile",earthquake,4.2,1.7,,,reviewed,us,us
2016-05-23T03:43:12.910Z,-22.0311,-67.3269,174.56,5,mww,,30,1.208,1.12,us,us10005j9s,2016-08-03T22:33:42.040Z,"134km NE of San Pedro de Atacama, Chile",earthquake,7.3,5.7,,,reviewed,us,us
2016-05-22T11:47:09.110Z,-30.6111,-71.6884,25.77,5.1,mww,,82,0.077,0.8,us,us10005j7v,2016-08-03T22:33:41.040Z,"46km W of Ovalle, Chile",earthquake,6.3,3.5,,,reviewed,us,us
2016-05-18T15:07:47.470Z,-32.8044,-109.1857,10,5.3,mb,,62,5.629,0.64,us,us10005i8e,2016-07-22T19:39:12.040Z,"Southern East Pacific Rise",earthquake,11.7,1.8,0.029,400,reviewed,us,us
2016-05-18T14:49:02.940Z,-24.3941,-66.9305,148.4,5.2,mww,,34,1.835,0.75,us,us10005i77,2016-07-22T19:39:12.040Z,"65km WSW of San Antonio de los Cobres, Argentina",earthquake,7.9,6.2,,,reviewed,us,us
