LinkeadoH;2015-09-16 19:36;1;3;"con tantos "grados" que he leído de la intensidad del temblor , más me parece subasta la wea";;;;https://twitter.com/LinkeadoH/status/644293828011257856
MALIKCARES;2015-09-16 19:36;0;0;"temblor y la conchetumare me tiene pal pico";;;;https://twitter.com/MALIKCARES/status/644293827788976128
SchrankCalleri;2015-09-16 19:36;0;0;"temblor en rosario que raro q aca no paso nda, si queda a una horaaa";;;;https://twitter.com/SchrankCalleri/status/644293827768008704
booalfaro;2015-09-16 19:36;0;0;"Ni me paré de la cama jaja sureña pueh papeto #temblor";;;#temblor;https://twitter.com/booalfaro/status/644293827533123584
IronBrett;2015-09-16 19:36;0;0;"Un abrazo fuerte, mis mejores deseos a mis amigos Chilenos Esperemos que no haya mucho que lamentar después del sismo de 8.3 de hace un rato";;;;https://twitter.com/IronBrett/status/644293827432443905
luIistone25;2015-09-16 19:36;1;8;"YO CAMINARÉ ENTRE LAS PIEDRAS HASTA SENTIR EL TEMBLOR (7,2°) EN MIS TIERRAS (chile)";;;;https://twitter.com/luIistone25/status/644293827101093888
_alvagon_;2015-09-16 19:36;0;0;"CTM EL TEMBLOR FUERTE!! AL MENOS EN CASA ESTAMOS TODOS BIEN.";;;;https://twitter.com/_alvagon_/status/644293827046559744
Josemen42;2015-09-16 19:36;0;0;"#temblor que susto esta huea";;;#temblor;https://twitter.com/Josemen42/status/644293826736181248
BrunitooCarp7;2015-09-16 19:36;1;1;"Dice el ogro fabiani que un tropezon no es caida, que lo perdonen por el sismo";;;;https://twitter.com/BrunitooCarp7/status/644293826518085632
Fabriciochang92;2015-09-16 19:36;0;0;"Sismo de 8.3 en las costas de chile";;;;https://twitter.com/Fabriciochang92/status/644293826392145920
esteban_denise;2015-09-16 19:36;0;0;"Nunca en mi vida he sentido un temblor";;;;https://twitter.com/esteban_denise/status/644293826224484352
CarlaFontana11;2015-09-16 19:36;0;1;"Un temblor ? me dormi un toque la siesta y hay sismos,tsunamis,un negro afuera de mi casa cantando Arjona que esta pasando con el mundo?";;;;https://twitter.com/CarlaFontana11/status/644293826174164992
ChespierCM;2015-09-16 19:36;0;0;"Un muy fuerte sismo sacudió esta tarde a Mendoza y el epicentro se ubicó en Chile, en la región de Coquimbo. En... http:// fb.me/2cv4SQL3m";;;;https://twitter.com/ChespierCM/status/644293826153197568
gustlib;2015-09-16 19:36;7;13;"El temblor iba a llegar al Conurbano, pero se lo afanaron en Puente La Noria";;;;https://twitter.com/gustlib/status/644293825960263681
marishma78;2015-09-16 19:36;1;5;"Ay que emoción!! Voy a leer a las chicas escribir HACEME TEMBLAR VOS y todos sus derivados...";;;;https://twitter.com/marishma78/status/644293825855389696
twisted_insanne;2015-09-16 19:36;15;5;"Che el terremoto lo sintio toda Argentina MENOS SAN JUAN EHH, INFORMEN BIEN PUTOS";;;;https://twitter.com/twisted_insanne/status/644293825662464000
LucasaleGodoy;2015-09-16 19:36;0;1;"Temblor en Córdoba 8,3";;;;https://twitter.com/LucasaleGodoy/status/644293825515667456
LSaghini;2015-09-16 19:36;1;1;"@CamiiRoomero @ValeeCamerlengo por su culpa es el terremoto en rosario";;@CamiiRoomero @ValeeCamerlengo;;https://twitter.com/LSaghini/status/644293825419182080
SebasDrummer;2015-09-16 19:36;1;2;"Aterradora experiencia sentir un temblor de 7,9 grados desde el sexto piso. Hoy no se duerme.";;;;https://twitter.com/SebasDrummer/status/644293825410809860
