username;date;retweets;favorites;text;geo;mentions;hashtags;permalink
cecytenSnFelipe;2015-09-14 19:51;0;0;"Este viernes 18 de Septiembre nos unimos al Simulacro Nacional de Sismo ( Terremoto ), que se realizará en todas... http:// fb.me/7EjcwnArJ";;;;https://twitter.com/cecytenSnFelipe/status/643572937103052801
MARLINGGIMENEZ;2015-09-14 19:51;0;1;"Muévete a mi ritmo, siente el magnetismo, tu cadera y la mía boom hacen un sismo .";;;;https://twitter.com/MARLINGGIMENEZ/status/643572934959833088
_sodoma;2015-09-14 19:51;0;0;"Así vas a temblar @mientrassoylulu https:// twitter.com/perverted_gifs /status/643563163808583680 …";;@mientrassoylulu;;https://twitter.com/_sodoma/status/643572914902691840
SSP_CDMX;2015-09-14 19:51;20;9;"#Entérate El próximo sábado 19 de septiembre, se vivirá el #SimulacroCDMX en conmemoración al sismo de 1985. pic.twitter.com/1nfuENsZtL";;;#Ent #SimulacroCDMX;https://twitter.com/SSP_CDMX/status/643572875337728004
ChecojuarezSj;2015-09-14 19:51;0;0;"—Amigo, ¿me cedes el asiento? Estoy embarazada —No se te nota. ¿Cuánto tiempo tienes? —Como una hora, todavía me están temblando las piernas";;;;https://twitter.com/ChecojuarezSj/status/643572843347734530
matias_eglez;2015-09-14 19:51;0;0;"Despierta me cuando pase el temblor";;;;https://twitter.com/matias_eglez/status/643572753690427396
lupautassi;2015-09-14 19:50;0;0;"Hasta sentir el temblor";;;;https://twitter.com/lupautassi/status/643572663357734913
Joaquin_Carro14;2015-09-14 19:50;0;0;"Alerta de terremoto con eso sacude el building";Montevideo, Uruguay;;;https://twitter.com/Joaquin_Carro14/status/643572642801418240
OspinaFatima;2015-09-14 19:50;0;0;"@H4RRY_S7YLES Claro, te conectas y eso es que mi celular va a causar un terremoto de tantas vainas que vibran";;@H4RRY_S7YLES;;https://twitter.com/OspinaFatima/status/643572627412549632
AluuKloster;2015-09-14 19:50;0;0;"AMO TODO AQUELLO QUE ME PONE A TEMBLAR";;;;https://twitter.com/AluuKloster/status/643572519077814272
eltigrerafael;2015-09-14 19:50;0;0;"EE.UU. hace temblar a los líderes del fútbol mundial http://www. abc.es/deportes/futbo l/20150914/abci-estados-unidos-corrupcion-futbol-201509141924.html …";;;;https://twitter.com/eltigrerafael/status/643572461653651456
